Position,Track Name,Artist,Streams,URL,Week,Embed
11,Shivers,Ed Sheeran,23729735,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r,9/10/2021,https://open.spotify.com/embed/track/75MNhvTCCKsST3YqqUiU9r?utm_source_generator
12,Girls Want Girls (with Lil Baby),Drake,23379545,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3,9/10/2021,https://open.spotify.com/embed/track/37Nqx7iavZpotJSDXZWbJ3?utm_source_generator
13,Need to Know,Doja Cat,23196486,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi,9/10/2021,https://open.spotify.com/embed/track/3Vi5XqYrmQgOYBajMWSvCi?utm_source_generator
14,MONTERO (Call Me By Your Name),Lil Nas X,20710480,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd,9/10/2021,https://open.spotify.com/embed/track/67BtfxlNbhBmCDR2L2l8qd?utm_source_generator
15,Kiss Me More (feat. SZA),Doja Cat,20170105,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz,9/10/2021,https://open.spotify.com/embed/track/3DarAbFujv6eYNliUTyqtz?utm_source_generator
16,Happier Than Ever,Billie Eilish,19664713,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8,9/10/2021,https://open.spotify.com/embed/track/4RVwu0g32PAqgUiJoXsdF8?utm_source_generator
17,Hurricane,Kanye West,19370230,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o,9/10/2021,https://open.spotify.com/embed/track/0RbW8kWozrVSIGb4V13o0o?utm_source_generator
18,LALISA,LISA,18455241,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6,9/10/2021,https://open.spotify.com/embed/track/7uQZVznj0uQOGC9KhV2Mg6?utm_source_generator
19,Knife Talk (with 21 Savage ft. Project Pat),Drake,18375341,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6,9/10/2021,https://open.spotify.com/embed/track/2BcMwX1MPV6ZHP4tUT9uq6?utm_source_generator
20,Todo De Ti,Rauw Alejandro,18022876,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9,9/10/2021,https://open.spotify.com/embed/track/5RwV8BvLfX5injfqYodke9?utm_source_generator
21,Yonaguni,Bad Bunny,17195763,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS,9/10/2021,https://open.spotify.com/embed/track/2JPLbjOn0wPCngEot2STUS?utm_source_generator
22,Volví,Aventura,16342344,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi,9/10/2021,https://open.spotify.com/embed/track/2vmfvSoZBFAt9hhRoEByLi?utm_source_generator
23,In Da Getto,J Balvin,15971386,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn,9/10/2021,https://open.spotify.com/embed/track/1q0PYXTbDsirp2l74ng6pn?utm_source_generator
24,Qué Más Pues?,J Balvin,15384428,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP,9/10/2021,https://open.spotify.com/embed/track/6D2TCm4nf5nxAcdGJ7w3QP?utm_source_generator
25,Levitating (feat. DaBaby),Dua Lipa,15279109,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,9/10/2021,https://open.spotify.com/embed/track/5nujrmhLynf4yMoMtj8AQF?utm_source_generator
26,traitor,Olivia Rodrigo,14922433,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT,9/10/2021,https://open.spotify.com/embed/track/5CZ40GBx1sQ9agT82CLQCT?utm_source_generator
27,Cold Heart - PNAU Remix,Elton John,14689417,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz,9/10/2021,https://open.spotify.com/embed/track/6zSpb8dQRaw0M1dK8PBwQz?utm_source_generator
28,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,14439357,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI,9/10/2021,https://open.spotify.com/embed/track/4iJyoBOLtHqaGxP12qzhQI?utm_source_generator
29,Take My Breath,The Weeknd,14287625,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u,9/10/2021,https://open.spotify.com/embed/track/6M3PsepEj5gyJoIi7Xvr7u?utm_source_generator
30,family ties (with Kendrick Lamar),Baby Keem,14079036,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN,9/10/2021,https://open.spotify.com/embed/track/3QFInJAm9eyaho5vBzxInN?utm_source_generator
31,I WANNA BE YOUR SLAVE,Måneskin,14073872,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk,9/10/2021,https://open.spotify.com/embed/track/4pt5fDVTg5GhEvEtlz9dKk?utm_source_generator
32,Life Goes On,Oliver Tree,13828796,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC,9/10/2021,https://open.spotify.com/embed/track/0eu4C55hL6x29mmeAjytzC?utm_source_generator
33,Champagne Poetry,Drake,13239717,https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk,9/10/2021,https://open.spotify.com/embed/track/2HSmyk2qMN8WQjuGhaQgCk?utm_source_generator
34,Blinding Lights,The Weeknd,13064129,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,9/10/2021,https://open.spotify.com/embed/track/0VjIjW4GlUZAMYd2vXMi3b?utm_source_generator
35,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,12574176,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy,9/10/2021,https://open.spotify.com/embed/track/37BZB0z9T8Xu7U3e65qxFy?utm_source_generator
36,Get Into It (Yuh),Doja Cat,12006248,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb,9/10/2021,https://open.spotify.com/embed/track/0W6I02J9xcqK8MtSeosEXb?utm_source_generator
37,París,Ingratax,11940428,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3,9/10/2021,https://open.spotify.com/embed/track/4bF2y8rR7GUjrd5LNEvej3?utm_source_generator
38,2055,Sleepy Hallow,11928780,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo,9/10/2021,https://open.spotify.com/embed/track/4XvcHTUfIlWfyJTRG0aqlo?utm_source_generator
39,drivers license,Olivia Rodrigo,11772296,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH,9/10/2021,https://open.spotify.com/embed/track/5wANPM4fQCJwkGd4rN57mH?utm_source_generator
40,Volando - Remix,Mora,11318170,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe,9/10/2021,https://open.spotify.com/embed/track/0G2zPzWqVjR68iNPmx2TBe?utm_source_generator
41,deja vu,Olivia Rodrigo,11239468,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr,9/10/2021,https://open.spotify.com/embed/track/6HU7h9RYOaPRFeh0R3UeAr?utm_source_generator
42,AM Remix,Nio Garcia,11223289,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho,9/10/2021,https://open.spotify.com/embed/track/05bfbizlM5AX6Mf1RRyMho?utm_source_generator
43,Cúrame,Rauw Alejandro,10920030,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I,9/10/2021,https://open.spotify.com/embed/track/3PwRuzdphgedcWVUOVYJ7I?utm_source_generator
44,Don't Be Shy,Tiësto,10784250,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB,9/10/2021,https://open.spotify.com/embed/track/0bI7K9Becu2dtXK1Q3cZNB?utm_source_generator
45,Butter,BTS,10746280,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN,9/10/2021,https://open.spotify.com/embed/track/2bgTY4UwhfBYhGT4HUYStN?utm_source_generator
46,Sobrio,Maluma,10575749,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w,9/10/2021,https://open.spotify.com/embed/track/4HzqWEdAbzcVFDv0pvxV4w?utm_source_generator
47,Meet Me At Our Spot,THE ANXIETY,10568134,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG,9/10/2021,https://open.spotify.com/embed/track/07MDkzWARZaLEdKxo6yArG?utm_source_generator
48,Moon,Kanye West,10483865,https://open.spotify.com/track/2Rd4eJ4KwXQQn2sMSToyUM,9/10/2021,https://open.spotify.com/embed/track/2Rd4eJ4KwXQQn2sMSToyUM?utm_source_generator
49,Ley Seca,Jhay Cortez,10423194,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n,9/10/2021,https://open.spotify.com/embed/track/3JCaq3KDSROg3TXhdiDa9n?utm_source_generator
50,Una Nota,J Balvin,10060200,https://open.spotify.com/track/7iqOIHHEmu6Vhw25GgQ2eA,9/10/2021,https://open.spotify.com/embed/track/7iqOIHHEmu6Vhw25GgQ2eA?utm_source_generator
